Model,Accuracy,Precision,Recall,F1,ROC AUC
Logistic Regression,0.7395315826827538,0.5060240963855421,0.786096256684492,0.6157068062827226,0.835560205636932
Random Forest,0.7721788502484032,0.5898305084745763,0.46524064171123,0.5201793721973094,0.8102443876101166
Gradient Boosting,0.7970191625266146,0.6392405063291139,0.5401069518716578,0.5855072463768116,0.8344261024567929
